;link
163;http://www.gendarmerie.gov.mg/blog/2014/04/visite-officielle-de-lambassadeur-de-france-et-lattache-de-defense-aupres-de-lambassade-des-etats-unis-au-secretariat-detat-charge-de-la-gendarmerie-nationale-ma/#more-1378
164;http://www.gendarmerie.gov.mg/blog/2014/05/
165;http://www.gendarmerie.gov.mg/blog/2014/05/06/
166;http://www.gendarmerie.gov.mg/blog/2014/05/13/
167;http://www.gendarmerie.gov.mg/blog/2014/05/1399/
168;http://www.gendarmerie.gov.mg/blog/2014/05/1399/#more-1399
169;http://www.gendarmerie.gov.mg/blog/2014/05/15/
170;http://www.gendarmerie.gov.mg/blog/2014/05/23/
171;http://www.gendarmerie.gov.mg/blog/2014/05/30/
172;http://www.gendarmerie.gov.mg/blog/2014/05/ceremonie-remise-des-livres-au-profit-de-la-gendarmerie-nationale-a-la-bibliotheque-nationale/
173;http://www.gendarmerie.gov.mg/blog/2014/05/ceremonie-remise-des-livres-au-profit-de-la-gendarmerie-nationale-a-la-bibliotheque-nationale/#more-1406
174;http://www.gendarmerie.gov.mg/blog/2014/05/culte-oecumenique-pour-la-benediction-des-nouveaux-dirigeants-au-sein-du-ministere-de-la-defense-nationale/
175;http://www.gendarmerie.gov.mg/blog/2014/05/culte-oecumenique-pour-la-benediction-des-nouveaux-dirigeants-au-sein-du-ministere-de-la-defense-nationale/#more-1421
176;http://www.gendarmerie.gov.mg/blog/2014/05/la-ceremonie-officielle-de-passation-de-commandement-au-sein-du-ministere-de-la-defense-nationale/
177;http://www.gendarmerie.gov.mg/blog/2014/05/la-ceremonie-officielle-de-passation-de-commandement-au-sein-du-ministere-de-la-defense-nationale/#more-1425
178;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-commandement-de-la-gendarmerie-nationale/
179;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-commandement-de-la-gendarmerie-nationale/#more-1416
180;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-du-05-mai-2014-a-fort-duchesne/
181;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-du-05-mai-2014-a-fort-duchesne/#more-1386
182;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-entre-le-directeur-du-cabinet-aupres-du-secretariat-detat-charge-de-la-gendarmerie-nationale-entrant-et-sortant/
183;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-entre-le-directeur-du-cabinet-aupres-du-secretariat-detat-charge-de-la-gendarmerie-nationale-entrant-et-sortant/#more-1403
184;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-2/
185;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-2/#more-1431
186;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava/
187;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava/#more-1428
188;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-lemmonat-a-la-salle-dhonneur-du-toby-ratsimandrava/
189;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-lemmonat-a-la-salle-dhonneur-du-toby-ratsimandrava/#more-1412
190;http://www.gendarmerie.gov.mg/blog/2014/06/
191;http://www.gendarmerie.gov.mg/blog/2014/06/03/
192;http://www.gendarmerie.gov.mg/blog/2014/06/19/
193;http://www.gendarmerie.gov.mg/blog/2014/06/celebration-de-la-fete-des-meres-2014-au-sein-du-fi-va-za-seg-a-la-villa-mahatazana-le-31-mai-2014/
194;http://www.gendarmerie.gov.mg/blog/2014/06/celebration-de-la-fete-des-meres-2014-au-sein-du-fi-va-za-seg-a-la-villa-mahatazana-le-31-mai-2014/#more-1440
195;http://www.gendarmerie.gov.mg/blog/2014/06/passation-de-commandement-de-la-cirgn-majunga/
196;http://www.gendarmerie.gov.mg/blog/2014/06/passation-de-commandement-de-la-cirgn-majunga/#more-1449
197;http://www.gendarmerie.gov.mg/blog/2014/06/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale/
198;http://www.gendarmerie.gov.mg/blog/2014/06/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale/#more-1436
199;http://www.gendarmerie.gov.mg/blog/2014/08/
200;http://www.gendarmerie.gov.mg/blog/2014/08/19/
201;http://www.gendarmerie.gov.mg/blog/2014/08/27/
202;http://www.gendarmerie.gov.mg/blog/2014/08/resultat-positive-de-la-brigade-dambohimangakely/
203;http://www.gendarmerie.gov.mg/blog/2014/08/resultat-positive-de-la-brigade-dambohimangakely/#more-1463
204;http://www.gendarmerie.gov.mg/blog/2014/08/seance-de-tir-dinstruction-organisee-par-la-gendarmerie-nationale-au-niveau-du-secretariat-detat-aupres-du-ministere-de-la-defense-nationale-charge-de-la-gendarmerie-et-la-direction/
205;http://www.gendarmerie.gov.mg/blog/2014/08/seance-de-tir-dinstruction-organisee-par-la-gendarmerie-nationale-au-niveau-du-secretariat-detat-aupres-du-ministere-de-la-defense-nationale-charge-de-la-gendarmerie-et-la-direction/#more-1467
206;http://www.gendarmerie.gov.mg/blog/2014/09/
207;http://www.gendarmerie.gov.mg/blog/2014/09/05/
208;http://www.gendarmerie.gov.mg/blog/2014/09/08/
209;http://www.gendarmerie.gov.mg/blog/2014/09/11/
210;http://www.gendarmerie.gov.mg/blog/2014/09/escroquerie-deux-soi-disant-employes-de-lusaid-arretes-par-la-brigade-de-la-gn-andriampamaky/
211;http://www.gendarmerie.gov.mg/blog/2014/09/escroquerie-deux-soi-disant-employes-de-lusaid-arretes-par-la-brigade-de-la-gn-andriampamaky/#more-1478
212;http://www.gendarmerie.gov.mg/blog/2014/09/singature-de-convention-de-partenariat-entre-la-gendarmerie-et-la-societe-ambatovy-le-05-septembre-2014-a-toamasina/
213;http://www.gendarmerie.gov.mg/blog/2014/09/singature-de-convention-de-partenariat-entre-la-gendarmerie-et-la-societe-ambatovy-le-05-septembre-2014-a-toamasina/#more-1481
214;http://www.gendarmerie.gov.mg/blog/2014/09/six-faussaires-de-cheques-carburants-et-lubrifiant-ccal-arretes-par-la-section-de-recherche-criminelle-fiadanana-2/
215;http://www.gendarmerie.gov.mg/blog/2014/09/six-faussaires-de-cheques-carburants-et-lubrifiant-ccal-arretes-par-la-section-de-recherche-criminelle-fiadanana-2/#more-1476
216;http://www.gendarmerie.gov.mg/blog/2014/11/
217;http://www.gendarmerie.gov.mg/blog/2014/11/07/
218;http://www.gendarmerie.gov.mg/blog/2014/11/08/
219;http://www.gendarmerie.gov.mg/blog/2014/11/10/
220;http://www.gendarmerie.gov.mg/blog/2014/11/17/
221;http://www.gendarmerie.gov.mg/blog/2014/11/24/
222;http://www.gendarmerie.gov.mg/blog/2014/11/27/
223;http://www.gendarmerie.gov.mg/blog/2014/11/28/
224;http://www.gendarmerie.gov.mg/blog/2014/11/5eme-congres-malgache-pour-la-route-et-des-transports/
225;http://www.gendarmerie.gov.mg/blog/2014/11/5eme-congres-malgache-pour-la-route-et-des-transports/#more-1518
226;http://www.gendarmerie.gov.mg/blog/2014/11/amboasary-sud-quatre-milliers-de-dahalo-jettent-leponge/
227;http://www.gendarmerie.gov.mg/blog/2014/11/amboasary-sud-quatre-milliers-de-dahalo-jettent-leponge/#more-1496
228;http://www.gendarmerie.gov.mg/blog/2014/11/article-relatif-a-la-remise-des-lettres-de-felicitation-et-des-certificats/
229;http://www.gendarmerie.gov.mg/blog/2014/11/article-relatif-a-la-remise-des-lettres-de-felicitation-et-des-certificats/#more-1522
230;http://www.gendarmerie.gov.mg/blog/2014/11/lettre-de-remerciements/
231;http://www.gendarmerie.gov.mg/blog/2014/11/lettre-de-remerciements/#more-1486
232;http://www.gendarmerie.gov.mg/blog/2014/11/remise-de-deux-motos-par-le-fizafato-au-profit-de-la-gendarmerie-nationale/
233;http://www.gendarmerie.gov.mg/blog/2014/11/remise-de-deux-motos-par-le-fizafato-au-profit-de-la-gendarmerie-nationale/#more-1527
234;http://www.gendarmerie.gov.mg/blog/2014/11/rencontre-du-general-de-division-paza-dider-gerard-secretaire-detat-aupres-du-ministere-de-la-defense-nationale-charge-de-la-gendarmerie-avec-son-excellence-monsieur-lambassadeur-de/
